?hostProtein	?hostProteinName	?pathway	?pathwayName
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Neutrophil extracellular trap formation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Endocytosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"IL-17 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Alcoholic liver disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"TNF signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Measles - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Herpes simplex virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Alcoholism - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Apelin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Dilated cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Hypertrophic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Leishmaniasis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Lipid and atherosclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Neurotrophin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Nitrogen metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Osteoclast differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Toll-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Toxoplasmosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Vitamin digestion and absorption - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"@en	<path:hsa01100>	"Yersinia infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Neutrophil extracellular trap formation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Endocytosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"IL-17 signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Alcoholic liver disease - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Pathogenic Escherichia coli infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"TNF signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Measles - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Herpes simplex virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Human immunodeficiency virus 1 infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Alcoholism - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Apelin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Coronavirus disease - COVID-19 - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Dilated cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Hepatitis B - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Hypertrophic cardiomyopathy - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Leishmaniasis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Lipid and atherosclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Lysosome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"MicroRNAs in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Neurotrophin signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Nitrogen metabolism - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"NOD-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Osteoclast differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Proteoglycans in cancer - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Proximal tubule bicarbonate reclamation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Toll-like receptor signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Toxoplasmosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Vitamin digestion and absorption - Homo sapiens (human)"@en
<http://localhost:8080/source/Q9Y5V3>	"Melanoma-associated antigen D1"	<path:hsa01100>	"Yersinia infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P61981>	"14-3-3 protein gamma"@en	<path:hsa01212>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/P61981>	"14-3-3 protein gamma"@en	<path:hsa01212>	"Hepatitis C - Homo sapiens (human)"@en
<http://localhost:8080/source/P61981>	"14-3-3 protein gamma"@en	<path:hsa01212>	"Nucleocytoplasmic transport - Homo sapiens (human)"@en
<http://localhost:8080/source/P61981>	"14-3-3 protein gamma"@en	<path:hsa01212>	"Cell cycle - Homo sapiens (human)"@en
<http://localhost:8080/source/P61981>	"14-3-3 protein gamma"@en	<path:hsa01212>	"Hippo signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P61981>	"14-3-3 protein gamma"@en	<path:hsa01212>	"Oocyte meiosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P61981>	"14-3-3 protein gamma"@en	<path:hsa01212>	"PI3K-Akt signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P61981>	"14-3-3 protein gamma"	<path:hsa01212>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/P61981>	"14-3-3 protein gamma"	<path:hsa01212>	"Hepatitis C - Homo sapiens (human)"@en
<http://localhost:8080/source/P61981>	"14-3-3 protein gamma"	<path:hsa01212>	"Nucleocytoplasmic transport - Homo sapiens (human)"@en
<http://localhost:8080/source/P61981>	"14-3-3 protein gamma"	<path:hsa01212>	"Cell cycle - Homo sapiens (human)"@en
<http://localhost:8080/source/P61981>	"14-3-3 protein gamma"	<path:hsa01212>	"Hippo signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P61981>	"14-3-3 protein gamma"	<path:hsa01212>	"Oocyte meiosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P61981>	"14-3-3 protein gamma"	<path:hsa01212>	"PI3K-Akt signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15366>	"\"Poly(rC)-binding protein 2\""@en	<path:hsa01240>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15366>	"\"Poly(rC)-binding protein 2\""@en	<path:hsa01240>	"Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15366>	"\"Poly(rC)-binding protein 2\""@en	<path:hsa01240>	"Nucleocytoplasmic transport - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15366>	"\"Poly(rC)-binding protein 2\""@en	<path:hsa01240>	"Chemical carcinogenesis - receptor activation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15366>	"\"Poly(rC)-binding protein 2\""@en	<path:hsa01240>	"Cushing syndrome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15366>	"\"Poly(rC)-binding protein 2\""@en	<path:hsa01240>	"Ferroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15366>	"\"Poly(rC)-binding protein 2\""	<path:hsa01240>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15366>	"\"Poly(rC)-binding protein 2\""	<path:hsa01240>	"Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15366>	"\"Poly(rC)-binding protein 2\""	<path:hsa01240>	"Nucleocytoplasmic transport - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15366>	"\"Poly(rC)-binding protein 2\""	<path:hsa01240>	"Chemical carcinogenesis - receptor activation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15366>	"\"Poly(rC)-binding protein 2\""	<path:hsa01240>	"Cushing syndrome - Homo sapiens (human)"@en
<http://localhost:8080/source/Q15366>	"\"Poly(rC)-binding protein 2\""	<path:hsa01240>	"Ferroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"@en	<path:hsa01240>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"@en	<path:hsa01240>	"Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"@en	<path:hsa01240>	"Nucleocytoplasmic transport - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"@en	<path:hsa01240>	"Chemical carcinogenesis - receptor activation - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"@en	<path:hsa01240>	"Cushing syndrome - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"@en	<path:hsa01240>	"Ferroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"	<path:hsa01240>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"	<path:hsa01240>	"Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"	<path:hsa01240>	"Nucleocytoplasmic transport - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"	<path:hsa01240>	"Chemical carcinogenesis - receptor activation - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"	<path:hsa01240>	"Cushing syndrome - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"	<path:hsa01240>	"Ferroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"@en	<path:hsa01250>	"mTOR signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"	<path:hsa01250>	"mTOR signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"@en	<path:hsa01521>	"Amyotrophic lateral sclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"@en	<path:hsa01521>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"@en	<path:hsa01521>	"EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"	<path:hsa01521>	"Amyotrophic lateral sclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"	<path:hsa01521>	"Proteasome - Homo sapiens (human)"@en
<http://localhost:8080/source/P55735>	"Protein SEC13 homolog"	<path:hsa01521>	"EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human)"@en
<http://localhost:8080/source/P34932>	"Heat shock 70 kDa protein 4"@en	<path:hsa01523>	"Lipid and atherosclerosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P34932>	"Heat shock 70 kDa protein 4"@en	<path:hsa01523>	"mRNA surveillance pathway - Homo sapiens (human)"@en
